YEAR,STATE,Drug Deaths,Drug Deaths - Ages 15-24,Drug Deaths - Ages 25-34,Drug Deaths - Ages 35-44,Drug Deaths - Ages 45-54,Drug Deaths - Ages 55-64,Drug Deaths - Ages 65-74,Drug Deaths - American Indian/Alaska Native,Drug Deaths - Asian,Drug Deaths - Black,Drug Deaths - Female,Drug Deaths - Hawaiian/Pacific Islander,Drug Deaths - Hispanic,Drug Deaths - Male,Drug Deaths - Multiracial,Drug Deaths - White
2020,WV,77.4,21.8,147.2,189.1,142.5,76.7,20.7,,,110.8,46.9,,,107.6,,78.4
2021,WV,87.1,37.1,144.7,218.2,147.7,98.1,25.2,,,135,56.1,,,117.5,,88.2
2022,WV,75.2,20.5,119.3,199.2,140.4,98,27.8,,,137.6,44.4,,,107.4,,75.6
2020,DC,67.5,,30.4,47.8,126.9,222.1,104.7,,,124.1,38.1,,,101.1,,11.4
2021,DC,77.6,,26.8,54.4,100.2,251.5,185.3,,,149,41.6,,,118.1,,14.1
2022,DC,67.1,,31.6,69.4,99.3,256,148.1,,,136.6,40.3,,,111.1,,13.9
2020,MD,45,20.1,75.4,73.2,82.1,74.6,23.9,,5,56.3,25.1,,15.5,66.3,16.5,52.1
2021,MD,43.7,18,67.8,72.3,76.8,76.9,28,,,63.5,24.3,,15.4,64.1,,46.8
2022,MD,41.7,16.2,59.9,68.6,71.7,74.8,31.1,,6.1,58.9,25.7,,18.7,64.6,,43
2020,DE,46,18.6,74,108.8,72.9,65.8,,,,42.2,29.2,,24.6,63.9,,57
2021,DE,52.4,,77.1,119.1,107.9,67.6,20.9,,,55.8,32,,37.3,74,,61.1
2022,DE,53.9,18.5,85,100.4,114.2,80.8,32.2,,,66,33.5,,26.6,82.3,,59.6
2020,KY,47.3,23,84.6,110.4,77,52.9,16.4,,,47.3,29,,18.2,65.7,,50.4
2021,KY,53.7,26,87.6,126.4,93.3,64.3,17.4,,,64.8,35.2,,17.2,72.1,,55.9
2022,KY,50.3,20.5,77.6,122.1,95.5,60.9,19.1,,,69.8,34.8,,25.1,68.3,,51.6
2020,NE,11.4,9.7,18.5,17.9,16.8,20,,,,23.2,9.3,,,13.5,,11.7
2021,NE,11.3,10.6,20.2,16.8,20.2,14.1,,,,27.5,9.5,,,13.1,,11.4
2022,NE,11.4,8.9,22.6,20.6,15.1,16.2,,,,35.6,10.4,,8.7,13,,10.4
2020,SD,9.8,,,24,,,,30.7,,,7.6,,,11.9,,7.9
2021,SD,12.4,,18.6,22.4,25.4,,,44.5,,,10.6,,,13.9,,9
2022,SD,10.4,,27.1,,,,,37.1,,,10.1,,,10.7,,7.5
2020,HI,19.6,,11.2,24.7,44.9,49.8,20,,9.3,,11.1,15.5,23.1,28.3,34.6,23.7
2021,HI,18.6,,13.9,27.8,32.3,38.1,27.1,,7.8,,9.7,20.1,24.3,27.4,33.7,21.4
2022,HI,19.7,,18.4,27.7,36.7,52.6,19.7,,8.1,,7.7,16,15.6,29.1,30.2,25.8
2020,TX,14.3,10.2,23.5,22.4,22.6,22.6,9.1,,4.1,19.9,8.9,,9.3,19.9,4.9,19.1
2021,TX,17.1,12.1,25.9,28.2,26,26.5,12.9,,3.1,25.6,10.9,,11,23.3,6.3,22.5
2022,TX,18.3,12.6,27.9,32.4,27.9,28.3,13.7,,3.7,25.1,14.2,,12.6,30,,24.4
2020,IA,14.2,8.2,24.1,24.1,27.4,19.2,7.1,,,27.8,10.5,,,17.8,,14.7
2021,IA,15.4,9.9,28.4,23.8,26.8,20.1,9.8,,,52.4,11.7,,,19,,15.5
2022,IA,14.7,7.2,26.6,26.4,26.4,22.9,7.1,,,38.7,10.4,,10.8,19.5,,14