SEQ,Date,Event,Significance,Image,show_tooltip
1,-3400,Sumerian Cultivation,"The earliest known cultivation in lower<br/> Mesopotamia (modern Iraq). <br/>They called the poppy hul gil, <br/> the ""joy plant.""",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Mycenae_gold_ring.jpg/500px-Mycenae_gold_ring.jpg,Y
2,-1300,Egyptian Trade,Egyptians cultivate opium<br/> thebaicum and trade it <br/> via Phoenicians and<br/> Minoans throughout <br/>the Mediterranean.,https://i.natgeofe.com/k/109a4e08-5ebc-48a5-99ab-3fbfc1bbd611/Giza_Egypt_KIDS_0123_16x9.jpg,Y
3,-460,Hippocrates' Use,"The ""father of medicine"" <br/>acknowledges opium's <br/>medical value as a <br/>narcotic and pain reliever.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Hippocrates.jpg/250px-Hippocrates.jpg,Y
4,-400,Introduction to China,"Opium is introduced to China by Arab traders, initially for medicinal purposes.",,N
9,1803,Morphine Isolated,German pharmacist <br/> Friedrich Sertürner  isolates the main<br/> active alkaloid <br/>from opium and names it Morphine.,https://images.theconversation.com/files/218841/original/file-20180514-100703-1yf8gog.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=237&fit=clip,Y
10,1839,First Opium War,"Fought between Great Britain and China; led to the Treaty of Nanking, ceding Hong Kong to Britain and opening more ports.",,N
11,1853,Hypodermic Needle <br/>Invented,"Development allows for the <br/>direct injection of morphine, <br/>leading to a surge in <br/>addiction (e.g., ""Soldier's Disease"").",https://www.civilwarmed.org/wp-content/uploads/2023/06/Needle-illustration.jpg,Y
12,1856,Second Opium War,"Great Britain and France defeat China, resulting in the legalization of the opium trade in China.",,N
13,1874,Heroin Synthesized,C.R. Wright first synthesizes Heroin<br/> (diacetylmorphine).,https://upload.wikimedia.org/wikipedia/commons/5/5a/Heroin_in_powder_and_pill_forms.jpg,Y
14,1909,Shanghai Opium Commission,The first attempt at <br/>international drug control <br/>by gathering 13 nations to <br/>discuss restricting the opium trade.,https://upload.wikimedia.org/wikipedia/commons/3/3c/International_Opium_Commission.jpg,Y
15,1914,Harrison Narcotics Tax Act (U.S.),"Landmark U.S. law that taxed and regulated the production, importation, and distribution of opiates.",,N
16,1961,Single Convention on Narcotic Drugs,A crucial UN treaty establishing a comprehensive international framework to control the supply of opiates for medical use only.,,N
17,1990,The Rise of OxyContin,Marketing of new prescription <br/> opioids for pain leads <br/>to the start of the <br/>modern Opioid Crisis.,https://d3i6fh83elv35t.cloudfront.net/static/2017/07/OxyContin_opioids_RTS13X60-1024x862.jpg,Y
18,2016,Fentanyl Dominance,"Illicitly manufactured Fentanyl <br/> becomes the dominant <br/> drug in overdose deaths, <br/>representing the third wave <br/>of the crisis.","https://media.cnn.com/api/v1/images/stellar/prod/160428183940-fentanyl-opioids-drugs-overdose-sanjay-gupta-mobile-orig-mss-00000000.jpg?q=w_1920,h_1080,x_0,y_0,c_fill",Y
,1991,First Electronic PDMP,Oklahoma becomes first <br/> state to implement a <br/> fully electronic <br/> prescription drug monitoring <br/> program,https://upload.wikimedia.org/wikipedia/en/8/80/OK_-_Bureau_of_Narcotics_and_Dangerous_Drugs_Control.jpg,Y